signal,n_total,avg_gap,avg_fwd_1d_return,hit_fwd_1d,avg_fwd_3d_return,hit_fwd_3d,avg_fwd_6d_return,hit_fwd_6d
undervalued,7,-0.14516494756325185,-0.009667393370086612,0.42857142857142855,0.015003076716890416,0.5714285714285714,0.04177688633762953,0.8333333333333334
neutral,239,0.024023226564590022,0.0025453687192528445,1.0,0.006103979615057284,0.9915254237288136,0.010824378510780145,0.9145299145299145
overvalued,191,0.19610297036415147,0.0010655739917255188,0.46596858638743455,0.0039229615514495934,0.4973821989528796,0.009019108482013196,0.44502617801047123
