quarter,model,selected_k,candidate_k_errors,q_profit_pred_bn,ttm_profit_pred_bn,actual_q_profit_bn,actual_ttm_profit_bn,last_announced_q_profit_bn,train_quarters_count,ridge_alpha,data_quality_flag
2024-12-31,H_dynamic_k_spread,2.05,"{""1.8"": 31.563217210365313, ""1.85"": 31.4891474221073, ""1.9"": 31.422318967641285, ""1.925"": 28.7987337370634, ""1.95"": 28.784907241490465, ""2.0"": 28.764189977244172, ""2.05"": 28.756005917767578}",20.78907297158437,104.29511297158437,33.830479999999994,123.945,19.97453,6,50.0,NO_POWER_OR_ANODE_ADJUSTMENT
2025-03-31,H_dynamic_k_spread,2.05,"{""1.8"": 25.57064066535879, ""1.85"": 25.50247387205364, ""1.9"": 25.429499840593746, ""1.925"": 23.662853874608956, ""1.95"": 23.63395167172654, ""2.0"": 23.575030158789673, ""2.05"": 23.517806287983593}",28.640520169095574,118.75504016909557,35.35254,137.01686999999998,33.830479999999994,7,50.0,NO_POWER_OR_ANODE_ADJUSTMENT
2025-06-30,H_dynamic_k_spread,2.05,"{""1.8"": 20.79567574586706, ""1.85"": 20.75905684336376, ""1.9"": 20.71750727171463, ""1.925"": 19.398648816454493, ""1.95"": 19.382805844027395, ""2.0"": 19.349455914610793, ""2.05"": 19.3163596737138}",39.818469328900065,141.48279932890006,35.355070000000005,124.51262,35.35254,8,1.0,NO_POWER_OR_ANODE_ADJUSTMENT
2025-09-30,H_dynamic_k_spread,2.05,"{""1.8"": 20.34944870442127, ""1.85"": 20.196789731546215, ""1.9"": 17.079689917910276, ""1.925"": 16.59377605248079, ""1.95"": 16.543319214773412, ""2.0"": 16.443089673946098, ""2.05"": 16.345767604751053}",35.78295559604064,124.94050559604062,38.013220000000004,142.55131,35.355070000000005,9,1.0,NO_POWER_OR_ANODE_ADJUSTMENT
2025-12-31,H_dynamic_k_spread,2.05,"{""1.8"": 17.248568735178996, ""1.85"": 17.139333621339613, ""1.9"": 14.558789996349802, ""1.925"": 14.162045340836618, ""1.95"": 14.127966115325242, ""2.0"": 14.059756905529909, ""2.05"": 13.993183737952437}",29.417447830642246,133.95553783064224,18.018349999999998,126.73918,38.013220000000004,10,1.0,NO_POWER_OR_ANODE_ADJUSTMENT
2026-03-31,H_dynamic_k_spread,2.05,"{""1.8"": 16.512511096553506, ""1.85"": 16.395896986252986, ""1.9"": 14.16268789073679, ""1.925"": 13.812544946943445, ""1.95"": 13.773623271983684, ""2.0"": 13.696769795991367, ""2.05"": 13.622600036908125}",38.8287851992615,147.5496151992615,55.27245,146.65909,18.018349999999998,11,1.0,NO_POWER_OR_ANODE_ADJUSTMENT
2024-12-31,I_power_adjusted_spread,2.05,"{""1.8"": 31.563217210365313, ""1.85"": 31.4891474221073, ""1.9"": 31.422318967641285, ""1.925"": 28.7987337370634, ""1.95"": 28.784907241490465, ""2.0"": 28.764189977244172, ""2.05"": 28.756005917767578}",20.78907297158437,104.29511297158437,33.830479999999994,123.945,19.97453,6,50.0,POWER_COST_PROXY;ANODE_COST_PROXY
2025-03-31,I_power_adjusted_spread,2.05,"{""1.8"": 25.57064066535879, ""1.85"": 25.50247387205364, ""1.9"": 25.429499840593746, ""1.925"": 23.662853874608956, ""1.95"": 23.63395167172654, ""2.0"": 23.575030158789673, ""2.05"": 23.517806287983593}",28.640520169095574,118.75504016909557,35.35254,137.01686999999998,33.830479999999994,7,50.0,POWER_COST_PROXY;ANODE_COST_PROXY
2025-06-30,I_power_adjusted_spread,2.05,"{""1.8"": 20.79567574586706, ""1.85"": 20.75905684336376, ""1.9"": 20.71750727171463, ""1.925"": 19.398648816454493, ""1.95"": 19.382805844027395, ""2.0"": 19.349455914610793, ""2.05"": 19.3163596737138}",39.818469328900065,141.48279932890006,35.355070000000005,124.51262,35.35254,8,1.0,POWER_COST_PROXY;ANODE_COST_PROXY
2025-09-30,I_power_adjusted_spread,2.05,"{""1.8"": 20.34944870442127, ""1.85"": 20.196789731546215, ""1.9"": 17.079689917910276, ""1.925"": 16.59377605248079, ""1.95"": 16.543319214773412, ""2.0"": 16.443089673946098, ""2.05"": 16.345767604751053}",35.78295559604064,124.94050559604062,38.013220000000004,142.55131,35.355070000000005,9,1.0,POWER_COST_PROXY;ANODE_COST_PROXY
2025-12-31,I_power_adjusted_spread,2.05,"{""1.8"": 17.248568735178996, ""1.85"": 17.139333621339613, ""1.9"": 14.558789996349802, ""1.925"": 14.162045340836618, ""1.95"": 14.127966115325242, ""2.0"": 14.059756905529909, ""2.05"": 13.993183737952437}",29.417447830642246,133.95553783064224,18.018349999999998,126.73918,38.013220000000004,10,1.0,POWER_COST_PROXY;ANODE_COST_PROXY
2026-03-31,I_power_adjusted_spread,2.05,"{""1.8"": 16.512511096553506, ""1.85"": 16.395896986252986, ""1.9"": 14.16268789073679, ""1.925"": 13.812544946943445, ""1.95"": 13.773623271983684, ""2.0"": 13.696769795991367, ""2.05"": 13.622600036908125}",38.8287851992615,147.5496151992615,55.27245,146.65909,18.018349999999998,11,1.0,POWER_COST_PROXY;ANODE_COST_PROXY
