model,date,actual_value,predicted_value,residual,r2,mae
紫金矿业 601899.SH,2023-06-30,10.52,10.765138979316518,-0.2451389793165184,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2023-07-31,12.16,11.387438418768337,0.7725615812316633,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2023-08-31,11.51,11.829863643758674,-0.3198636437586746,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2023-09-30,11.28,10.743785823172093,0.5362141768279063,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2023-10-31,11.59,11.839879483743498,-0.24987948374349855,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2023-11-30,11.33,11.881502937701406,-0.5515029377014056,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2023-12-31,11.66,12.119978683428727,-0.4599786834287265,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-01-31,11.24,12.147094033013314,-0.9070940330133137,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-02-29,12.31,11.78938919009606,0.5206108099039408,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-03-31,16.02,13.88160182995495,2.1383981700450487,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-04-30,16.81,17.096526631564025,-0.28652663156402625,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-05-31,16.61,17.29066117684811,-0.6806611768481119,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-06-30,16.97,16.120184589000452,0.8498154109995468,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-07-31,15.98,15.876367760468977,0.10363223953102363,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-08-31,15.5,16.163776274963332,-0.6637762749633325,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-09-30,17.64,17.71324668207194,-0.07324668207193952,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-10-31,16.32,18.42224633482652,-2.1022463348265212,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-11-30,15.2,16.982288778954647,-1.7822887789546478,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2024-12-31,14.62,16.470543984608305,-1.850543984608306,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-01-31,15.74,17.367784421019394,-1.6277844210193937,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-02-28,14.85,18.12388733730139,-3.2738873373013906,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-03-31,17.62,19.730956802872676,-2.110956802872675,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-04-30,16.96,19.66179177206341,-2.701791772063409,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-05-31,17.23,18.951441608223945,-1.7214416082239445,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-06-30,19.28,19.210273009106217,0.06972699089378409,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-07-31,18.93,18.7675884727075,0.1624115272924982,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-08-31,22.86,19.41358993579644,3.446410064203558,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-09-30,29.44,22.58468048331625,6.85531951668375,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-10-31,30.5,25.767630872417723,4.7323691275822775,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-11-30,28.58,27.3053955176302,1.2746044823697993,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2025-12-31,34.47,31.124537262322704,3.3454627376772947,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2026-01-31,40.14,38.06607943892849,2.0739205610715103,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2026-02-28,39.55,38.22064587805331,1.329354121946686,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2026-03-31,32.72,32.720100954373,-0.0001009543730035034,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2026-04-30,33.3,34.54960462235396,-1.2496046223539636,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2026-05-31,30.44,35.020827938575245,-4.5808279385752435,0.9328725479831197,1.589371880211976
紫金矿业 601899.SH,2026-06-30,29.69,32.84680496800078,-3.156804968000781,0.9328725479831197,1.589371880211976
