week,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2021-06-25,2021-06-25,10.15,11.019340771068748,-0.8693407710687477
2021-07-02,2021-07-02,9.84,10.900959917631301,-1.0609599176313012
2021-07-09,2021-07-09,10.14,10.75644042868507,-0.6164404286850687
2021-07-16,2021-07-16,10.0,10.702577553768537,-0.7025775537685366
2021-07-23,2021-07-23,10.13,10.82582880961293,-0.6958288096129284
2021-07-30,2021-07-30,10.25,10.943464364982063,-0.6934643649820629
2021-08-06,2021-08-06,10.68,10.9203326636125,-0.2403326636125005
2021-08-13,2021-08-13,11.29,11.121177875849767,0.1688221241502319
2021-08-20,2021-08-20,10.04,10.486825474791807,-0.4468254747918081
2021-08-27,2021-08-27,10.45,10.672584550421695,-0.22258455042169523
2021-09-03,2021-09-03,11.07,10.639422126199449,0.43057787380055146
2021-09-10,2021-09-10,11.97,10.897917523762146,1.0720824762378545
2021-09-17,2021-09-17,10.81,11.134833929013697,-0.3248339290136961
2021-09-24,2021-09-24,10.34,11.15783993539986,-0.81783993539986
2021-10-01,2021-09-30,10.09,11.088361612385789,-0.9983616123857892
2021-10-08,2021-10-08,10.26,11.056687666831165,-0.7966876668311649
2021-10-15,2021-10-15,11.46,11.633995430579128,-0.17399543057912759
2021-10-22,2021-10-22,11.12,11.442388789759939,-0.32238878975993934
2021-10-29,2021-10-29,10.46,11.135053047851606,-0.6750530478516055
2021-11-05,2021-11-05,10.18,10.982476166904494,-0.8024761669044942
2021-11-12,2021-11-12,10.74,10.76412335831285,-0.024123358312849064
2021-11-19,2021-11-19,10.43,10.808636244901798,-0.3786362449017986
2021-11-26,2021-11-26,10.36,11.066204516124566,-0.7062045161245667
2021-12-03,2021-12-03,10.12,11.099198522819254,-0.9791985228192548
2021-12-10,2021-12-10,10.26,11.059892945282282,-0.7998929452822825
2021-12-17,2021-12-17,10.17,10.839129378699795,-0.6691293786997949
2021-12-24,2021-12-24,9.69,10.87666397215487,-1.1866639721548697
2021-12-31,2021-12-31,9.7,10.907012285890525,-1.2070122858905261
2022-01-07,2022-01-07,9.37,10.905879886143646,-1.535879886143647
2022-01-14,2022-01-14,9.82,11.029528900383914,-1.2095289003839138
2022-01-21,2022-01-21,10.27,10.901174630262046,-0.6311746302620467
2022-01-28,2022-01-28,9.76,10.945570991783008,-1.185570991783008
2022-02-11,2022-02-11,11.06,10.969604073916926,0.09039592608307423
2022-02-18,2022-02-18,11.23,10.706657257078843,0.523342742921157
2022-02-25,2022-02-25,10.95,10.427634649482727,0.5223653505172727
2022-03-04,2022-03-04,11.58,10.688905136336393,0.8910948636636071
2022-03-11,2022-03-11,10.98,10.401537201043828,0.5784627989561724
2022-03-18,2022-03-18,10.63,10.762557588362753,-0.13255758836275255
2022-03-25,2022-03-25,11.52,10.773268564923574,0.7467314350764251
2022-04-01,2022-04-01,11.45,10.875924303896431,0.5740756961035682
2022-04-08,2022-04-08,11.95,11.01731487492355,0.9326851250764499
2022-04-15,2022-04-15,12.13,11.108673880505746,1.0213261194942547
2022-04-22,2022-04-22,11.33,11.195744124100901,0.1342558758990986
2022-04-29,2022-04-29,11.07,10.961780168784037,0.10821983121596368
2022-05-06,2022-05-06,10.07,10.7248523856294,-0.6548523856294004
2022-05-13,2022-05-13,9.53,10.58153116828464,-1.0515311682846402
2022-05-20,2022-05-20,10.02,10.733905897218747,-0.7139058972187478
2022-05-27,2022-05-27,9.93,10.59358431833562,-0.6635843183356211
2022-06-03,2022-06-02,9.87,10.689086982564282,-0.8190869825642828
2022-06-10,2022-06-10,10.19,10.770161634753245,-0.5801616347532459
2022-06-17,2022-06-17,9.88,10.23043240995251,-0.3504324099525089
2022-06-24,2022-06-24,9.2,9.236150426216547,-0.036150426216547515
2022-07-01,2022-07-01,9.47,9.044858019520213,0.425141980479788
2022-07-08,2022-07-08,9.07,8.861308226797256,0.20869177320274446
2022-07-15,2022-07-15,8.37,8.027411535782694,0.3425884642173056
2022-07-22,2022-07-22,8.67,8.546722877701791,0.12327712229820875
2022-07-29,2022-07-29,8.93,8.900692077455677,0.029307922544322906
2022-08-05,2022-08-05,8.82,8.796055991191377,0.02394400880862335
2022-08-12,2022-08-12,9.19,9.24035063813788,-0.05035063813788021
2022-08-19,2022-08-19,8.84,9.170223172235094,-0.3302231722350939
2022-08-26,2022-08-26,9.15,9.358852197820873,-0.20885219782087283
2022-09-02,2022-09-02,8.52,8.791989182288603,-0.27198918228860336
2022-09-09,2022-09-09,9.19,9.257050947364501,-0.06705094736450157
2022-09-16,2022-09-16,8.68,9.189831127937733,-0.5098311279377334
2022-09-23,2022-09-23,8.53,9.149355989384176,-0.6193559893841769
2022-09-30,2022-09-30,7.84,8.951606818753659,-1.1116068187536587
2022-10-14,2022-10-14,7.96,9.291871573338263,-1.3318715733382627
2022-10-21,2022-10-21,7.93,9.208929877732501,-1.2789298777325016
2022-10-28,2022-10-28,8.1,9.116990296652196,-1.016990296652196
2022-11-04,2022-11-04,8.36,9.346173916504961,-0.9861739165049617
2022-11-11,2022-11-11,9.92,9.575346840183846,0.3446531598161542
2022-11-18,2022-11-18,9.64,9.277473417598301,0.3625265824016992
2022-11-25,2022-11-25,9.79,9.196421268005913,0.5935787319940857
2022-12-02,2022-12-02,10.11,9.313177828190074,0.7968221718099251
2022-12-09,2022-12-09,10.61,9.603843756570173,1.0061562434298263
2022-12-16,2022-12-16,10.3,9.326384308798204,0.9736156912017968
2022-12-23,2022-12-23,9.9,9.272318286347266,0.6276817136527342
2022-12-30,2022-12-30,10.0,9.403097147794062,0.5969028522059379
