trade_date,actual_stock_close_raw,predicted_stock_close,residual
2024-07-04,7.59,7.370959391167202,0.21904060883279808
2024-07-05,7.69,7.283196522759855,0.4068034772401452
2024-07-08,7.74,7.328999303437341,0.4110006965626596
2024-07-09,8.06,7.423413975108069,0.6365860248919315
2024-07-10,7.56,7.12865998426839,0.4313400157316094
2024-07-11,7.8,7.200847866391314,0.599152133608686
2024-07-12,7.92,7.084823940429179,0.8351760595708209
2024-07-15,8.05,7.033205025403321,1.0167949745966798
2024-07-16,7.91,7.005208168831531,0.9047918311684695
2024-07-17,7.34,6.9339129220101805,0.40608707798981936
2024-07-18,7.36,6.982010420749323,0.3779895792506771
2024-07-19,7.26,6.858808984308614,0.4011910156913858
2024-07-22,7.42,6.739549609022891,0.6804503909771089
2024-07-23,7.01,6.638606160050885,0.371393839949115
2024-07-24,6.91,6.705781238996709,0.2042187610032915
2024-07-25,6.73,6.610314474986279,0.11968552501372098
2024-07-26,6.82,6.646267833186244,0.17373216681375592
2024-07-29,6.84,6.572099931183123,0.26790006881687667
2024-07-30,6.61,6.39443913761905,0.21556086238095062
2024-07-31,6.9,6.575831977497443,0.3241680225025574
2024-08-01,6.84,6.655596036361912,0.1844039636380881
2024-08-02,6.57,6.706771711705955,-0.13677171170595503
2024-08-05,6.36,6.4660892284201825,-0.1060892284201822
2024-08-06,6.38,6.371152510799795,0.008847489200205061
2024-08-07,6.42,6.465751694527846,-0.045751694527846
2024-08-08,6.39,6.499242107824315,-0.10924210782431576
2024-08-09,6.47,6.690483814248654,-0.22048381424865404
2024-08-12,6.56,6.7759706086749585,-0.21597060867495887
2024-08-13,6.56,6.619891688826168,-0.05989168882616802
2024-08-14,6.43,6.628641109268212,-0.19864110926821255
2024-08-15,6.55,6.768474330698046,-0.21847433069804634
2024-08-16,6.62,6.910384404633939,-0.2903844046339392
2024-08-19,6.81,7.095175813788019,-0.2851758137880198
2024-08-20,6.7,7.0989586012118,-0.3989586012117998
2024-08-21,6.79,7.161775199817706,-0.3717751998177059
2024-08-22,6.76,7.177925197396625,-0.4179251973966256
2024-08-23,6.78,7.096770866407805,-0.31677086640780505
2024-08-26,6.87,7.172120135388656,-0.30212013538865623
2024-08-27,6.89,7.179358408597323,-0.2893584085973231
2024-08-28,6.86,7.159498220156482,-0.2994982201564813
2024-08-29,6.84,7.025862041758176,-0.18586204175817578
2024-08-30,6.83,7.138781226850208,-0.3087812268502077
2024-09-02,6.77,6.875887387463347,-0.10588738746334769
2024-09-03,6.83,6.821771232815119,0.008228767184880859
2024-09-04,6.61,6.718007168432833,-0.10800716843283276
2024-09-05,6.46,6.611301432961042,-0.15130143296104226
2024-09-06,6.46,6.714647250589651,-0.25464725058965065
2024-09-09,6.34,6.623636183599887,-0.28363618359988685
2024-09-10,6.3,6.733238612214716,-0.4332386122147165
2024-09-11,6.25,6.779053675082297,-0.529053675082297
2024-09-12,6.31,6.978056028099164,-0.6680560280991648
2024-09-13,6.32,7.0091355702944655,-0.6891355702944653
2024-09-18,6.58,7.095981882797085,-0.5159818827970852
2024-09-19,6.98,7.29669356943297,-0.31669356943297
2024-09-20,7.06,7.244050894756522,-0.18405089475652225
2024-09-23,7.0,6.9782758525464,0.021724147453600295
2024-09-24,7.25,7.187431415168023,0.06256858483197725
2024-09-25,7.39,7.256112545751489,0.13388745424851045
2024-09-26,7.84,7.330487160462376,0.5095128395376243
2024-09-27,8.13,7.581566934701578,0.5484330652984228
2024-09-30,8.9,7.607450908154362,1.292549091845638
2024-10-08,8.71,7.782649807525594,0.9273501924744068
2024-10-09,7.99,7.702499779986002,0.2875002200139978
2024-10-10,8.49,7.8030049803148485,0.6869950196851518
2024-10-11,8.52,8.07049327028772,0.44950672971227945
2024-10-14,9.09,8.2424542718865,0.8475457281135004
2024-10-15,8.51,8.02370772891302,0.48629227108697926
2024-10-16,8.65,8.185230858905243,0.46476914109475764
2024-10-17,8.51,8.037425412190096,0.4725745878099037
2024-10-18,8.55,8.169393236777301,0.3806067632226995
2024-10-21,8.76,8.478406386786114,0.2815936132138859
2024-10-22,8.84,8.410987362033213,0.4290126379667871
2024-10-23,8.72,8.444927854899511,0.2750721451004896
2024-10-24,8.82,8.69572189172926,0.12427810827074026
