quarter,actual_net_profit_bn,predicted_net_profit_bn,residual
2022-06-30,65.06227828,41.4756547624205,23.586623517579504
2022-09-30,40.370914510000006,43.59292582110216,-3.2220113111021575
2022-12-31,33.74921429,72.31252747691522,-38.563313186915224
2023-03-31,54.41834217,64.93503160463094,-10.516689434630933
2023-06-30,48.60317327,59.26235154182761,-10.659178271827614
2023-09-30,58.62769746999999,52.70668021685333,5.921017253146658
2023-12-31,49.544982800000014,50.992320001998344,-1.4473372019983302
2024-03-31,62.60843273,70.742240321194,-8.133807591194007
2024-06-30,88.23542384999999,78.7354103673965,9.500013482603492
2024-09-30,92.73073263,87.43491712058494,5.295815509415064
2024-12-31,76.93143515999998,71.03855003500776,5.892885124992219
2025-03-31,101.66777095,107.06647555059544,-5.398704600595437
2025-06-30,131.24975376,108.65026097790155,22.59949278209845
2025-09-30,145.71868503000002,135.02869930671562,10.689985723284394
2025-12-31,139.13706810999997,163.05594564075656,-23.91887753075659
2026-03-31,200.79391507,166.66626708381688,34.12764798618312
