company,variable,raw_coefficient,standardized_coefficient,full_oos_r2,ablated_oos_r2,incremental_oos_r2,direction
chalco,al_spread,5.821522093031083e-05,0.1400636566276786,0.851229891819979,0.8502876089303281,0.000942282889650925,positive
chalco,al_price,0.0011101457307163512,2.02779174062049,0.851229891819979,0.5700864154940894,0.28114347632588954,positive
chalco,__model__,-15.76133119006342,,0.851229891819979,,,intercept
zijin,cu_price,0.00026274306856476597,3.1314433152509915,0.9536988505756969,0.9063435109129611,0.04735533966273586,positive
zijin,au_price_rmb_g,0.02175163547648737,4.5798630676554835,0.9536988505756969,0.824269362459536,0.12942948811616095,positive
zijin,__model__,-15.884669887085826,,0.9536988505756969,,,intercept
