model,status,n,mae,rmse,mape,bias,r2,adjusted_r2,full_sample_r2,walk_forward_oos_r2,ttm_target_r2,single_quarter_target_r2,directional_accuracy,latest_q_profit_pred,latest_ttm_profit_pred,optional_feature_status,latest_model_price,signal_status
E_ttm_profit_ridge,ok,4,24.76617181361639,32.285946339393206,0.18717182275969935,3.4018340094051283,-10.23470071284131,,0.9244653891770219,-10.23470071284131,-10.23470071284131,-5.876220595059932,0.25,31.18311038181389,139.9039403818139,coal_price_q_mean=MISSING;power_cost_proxy=MISSING;primary_al_output_ton=MISSING;alumina_output_ton=MISSING;MODEL_F=BLOCKED_MISSING_AUDITABLE_VOLUME,,research_only_v22_ttm_oos_below_target
G_blended_profit,ok,6,13.687328319915855,14.684676381433695,0.10377728258547224,-5.219665931720361,-1.6665754077996735,,,-1.6665754077996735,-1.6665754077996735,-0.26863491897368186,0.5,34.770433275154,143.491263275154,coal_price_q_mean=MISSING;power_cost_proxy=MISSING;primary_al_output_ton=MISSING;alumina_output_ton=MISSING;MODEL_F=BLOCKED_MISSING_AUDITABLE_VOLUME,9.447484656166308,research_only_v22_ttm_oos_below_target
F_industry_segment_proxy,blocked_missing_auditable_volume,0,,,,,,,,,,,,,,coal_price_q_mean=MISSING;power_cost_proxy=MISSING;primary_al_output_ton=MISSING;alumina_output_ton=MISSING;MODEL_F=BLOCKED_MISSING_AUDITABLE_VOLUME,,research_only_v22_ttm_oos_below_target
