month,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2025-06-30,2025-06-30,7.04,7.136512001172284,-0.0965120011722842
2025-07-31,2025-07-31,7.43,7.172946034790306,0.2570539652096935
2025-08-31,2025-08-29,7.83,7.193658004606241,0.6363419953937592
2025-09-30,2025-09-30,8.24,7.231680368043601,1.0083196319563994
2025-10-31,2025-10-31,9.99,7.835376784412785,2.1546232155872156
2025-11-30,2025-11-28,10.51,8.378518125124929,2.131481874875071
2025-12-31,2025-12-31,12.22,10.032459492489043,2.187540507510958
2026-01-31,2026-01-30,14.13,12.39065236287138,1.7393476371286205
2026-02-28,2026-02-27,13.72,11.959139229399947,1.760860770600054
2026-03-31,2026-03-31,11.4,13.517195362983898,-2.1171953629838978
2026-04-30,2026-04-30,11.65,12.834423295509305,-1.1844232955093048
2026-05-31,2026-05-29,11.42,12.533986400408118,-1.113986400408118
2026-06-30,2026-06-18,9.38,12.030959526714057,-2.6509595267140558
