month,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2022-06-30,2022-06-30,9.33,9.201695825425935,0.1283041745740654
2022-07-31,2022-07-29,8.93,9.04347645537444,-0.11347645537444073
2022-08-31,2022-08-31,8.8,8.96043842199685,-0.1604384219968491
2022-09-30,2022-09-30,7.84,8.76910381334534,-0.9291038133453409
2022-10-31,2022-10-31,7.92,8.841645002221506,-0.9216450022215064
2022-11-30,2022-11-30,9.83,9.071659897061807,0.7583401029381935
2022-12-31,2022-12-30,10.0,9.37158408631539,0.6284159136846093
2023-01-31,2023-01-31,11.79,9.878940043314696,1.9110599566853033
2023-02-28,2023-02-28,11.41,10.158963069131154,1.251036930868846
2023-03-31,2023-03-31,12.39,10.411209986710897,1.9787900132891032
2023-04-30,2023-04-28,12.83,10.61927968917567,2.21072031082433
2023-05-31,2023-05-31,10.69,10.639870701963607,0.0501292980363921
2023-06-30,2023-06-30,11.37,11.177338583260521,0.1926614167394778
2023-07-31,2023-07-31,13.01,11.8409111854804,1.1690888145196006
2023-08-31,2023-08-31,12.36,12.207217558186581,0.15278244181341805
2023-09-30,2023-09-28,12.13,11.377117723809436,0.7528822761905651
2023-10-31,2023-10-31,12.44,12.103111819757718,0.3368881802422816
2023-11-30,2023-11-30,12.18,12.315500226390316,-0.13550022639031667
2023-12-31,2023-12-29,12.46,12.581877603330057,-0.1218776033300557
2024-01-31,2024-01-31,12.04,12.674712633087744,-0.6347126330877444
2024-02-29,2024-02-29,13.11,12.529821298286157,0.5801787017138427
2024-03-31,2024-03-29,16.82,14.427788543947633,2.392211456052367
2024-04-30,2024-04-30,17.61,17.72249516662622,-0.11249516662622128
2024-05-31,2024-05-31,17.41,17.907544397951547,-0.4975443979515468
2024-06-30,2024-06-28,17.57,16.680061776465408,0.8899382235345925
2024-07-31,2024-07-31,16.58,16.28364238966479,0.2963576103352068
2024-08-31,2024-08-30,16.0,16.540948188424963,-0.540948188424963
2024-09-30,2024-09-30,18.14,18.107984528593093,0.032015471406907636
2024-10-31,2024-10-31,16.82,18.53107643153406,-1.7110764315340603
2024-11-30,2024-11-29,15.7,17.105035693542636,-1.4050356935426365
2024-12-31,2024-12-31,15.12,16.89095098027931,-1.770950980279311
2025-01-31,2025-01-27,16.24,17.708412220651432,-1.4684122206514338
2025-02-28,2025-02-28,15.35,18.375883530537102,-3.0258835305371026
2025-03-31,2025-03-31,18.12,19.45118187890169,-1.3311818789016883
2025-04-30,2025-04-30,17.46,19.352168366251583,-1.8921683662515818
2025-05-31,2025-05-30,17.73,18.49851125455384,-0.7685112545538395
2025-06-30,2025-06-30,19.5,18.767460924504178,0.7325390754958221
2025-07-31,2025-07-31,19.15,18.411190548338034,0.7388094516619645
2025-08-31,2025-08-29,23.08,18.955245359665735,4.124754640334263
2025-09-30,2025-09-30,29.44,21.998381841648047,7.441618158351954
2025-10-31,2025-10-31,30.5,25.166185520710652,5.333814479289348
2025-11-30,2025-11-28,28.58,26.84048312397302,1.739516876026979
2025-12-31,2025-12-31,34.47,30.428497430133433,4.041502569866566
2026-01-31,2026-01-30,40.14,36.5080434215084,3.6319565784916037
2026-02-28,2026-02-27,39.55,36.967792403370375,2.5822075966296225
2026-03-31,2026-03-31,32.72,32.194518099315715,0.5254819006842837
2026-04-30,2026-04-30,33.3,33.74406220261042,-0.44406220261042506
2026-05-31,2026-05-29,30.44,34.16090764249587,-3.7209076424958702
2026-06-30,2026-06-18,29.69,32.528715209709276,-2.8387152097092745
