signal,n_total,avg_gap,avg_fwd_1w_return,hit_fwd_1w,avg_fwd_3w_return,hit_fwd_3w,avg_fwd_6w_return,hit_fwd_6w
undervalued,1,-0.14207508881290687,0.0023378141437755406,1.0,0.03156049094097013,1.0,0.018118059614260718,1.0
neutral,45,0.04582910991074459,0.0029938490267847717,1.0,0.019375584026491935,0.9047619047619048,0.06275995735637374,0.8461538461538461
overvalued,47,0.1952134274290544,0.012026036823166537,0.40425531914893614,0.03171257132274914,0.40425531914893614,0.046519230427742767,0.425531914893617
