signal,n_total,avg_gap,avg_fwd_1m_return,hit_fwd_1m,avg_fwd_3m_return,hit_fwd_3m,avg_fwd_6m_return,hit_fwd_6m
undervalued,1,-0.12391001398081491,-0.03642384105960261,0.0,0.07615894039735083,1.0,0.6247240618101546,1.0
neutral,7,0.03124127597608904,0.0032038901800561237,0.6666666666666666,0.1665984455033556,0.2,0.657520611776891,0.0
overvalued,14,0.20501360159237267,0.05744072352067737,0.42857142857142855,0.11631554405305344,0.46153846153846156,0.24295242738152908,0.18181818181818182
